,fold,origin,horizon,family,MASE,MAE,RMSE,BIC,LB_min,order,seasonal_order,trend,seasonal,seasonal_periods,season_length,decomposition_type
3,1,2024-07-16,42,ETS,0.815267124136251,10.365539149732333,12.618102707183246,1018.5323516387504,0.06377770869523046,,,add,,,,
0,2,2024-08-27,42,ETS,0.808170034576051,10.451879690861702,12.880560991693795,1269.8084509363996,0.9391020236575905,,,mul,mul,7.0,,
43,3,2024-10-08,42,ETS,0.9260918916351617,12.254180208958122,14.967358791344031,1524.4854777098928,0.054085255925584115,,,,add,14.0,,
13,1,2024-07-16,42,SARIMAX,0.8521623683969007,10.834635826760595,13.545675089668105,1533.3617700545676,0.768612912360821,"(1, 1, 2)","(0, 0, 0, 14)",t,,,,
8,2,2024-08-27,42,SARIMAX,0.8478311297317493,10.964807635774473,14.432508953150212,1872.7924265134423,0.7291225308783887,"(2, 1, 1)","(0, 0, 0, 14)",t,,,,
62,3,2024-10-08,42,SARIMAX,1.0045107316532602,13.291829502769033,15.59380953787201,2207.6691262326144,0.6179140582809396,"(2, 1, 2)","(0, 0, 0, 14)",n,,,,
132,1,2024-07-16,42,Theta,1.7709999084472656,22.516996383666992,25.98628044128418,,,,,,,,1,additive
49,2,2024-08-27,42,Theta,0.996573754092277,12.888463020324707,15.4729642868042,,,,,,,,1,additive
77,3,2024-10-08,42,Theta,1.0894896060670758,14.416281700134277,17.658447265625,,,,,,,,7,mmultiplicative
