,fold,origin,horizon,family,MASE,MAE,RMSE,BIC,LB_min,order,seasonal_order,trend,seasonal,seasonal_periods,season_length,decomposition_type
5,1,2024-07-16,42,SARIMAX,1.7494872714543461,22.243481022776685,25.471935108397172,1547.25827608248,0.6117161099196888,"(1, 0, 1)","(0, 0, 0, 7)",n,,,,
6,1,2024-07-16,42,SARIMAX,1.8481021823121815,23.49729917511202,26.809153401046036,1533.0126120468387,0.6195842210165591,"(1, 1, 1)","(0, 0, 0, 14)",n,,,,
7,1,2024-07-16,42,SARIMAX,1.8481021823121815,23.49729917511202,26.809153401046036,1533.0126120468387,0.6195842210165591,"(1, 1, 1)","(0, 0, 0, 7)",n,,,,
8,1,2024-07-16,42,SARIMAX,1.8429524038683922,23.431823420612414,26.74510826569126,1530.8989383514036,0.7253050726503416,"(1, 1, 2)","(0, 0, 0, 14)",n,,,,
9,1,2024-07-16,42,SARIMAX,1.8429524038683922,23.431823420612414,26.74510826569126,1530.8989383514036,0.7253050726503416,"(1, 1, 2)","(0, 0, 0, 7)",n,,,,
10,1,2024-07-16,42,SARIMAX,2.05920630559396,26.181337313980347,29.19120318050021,1589.5760323775596,0.0870292363820042,"(2, 0, 0)","(0, 0, 0, 14)",n,,,,
11,1,2024-07-16,42,SARIMAX,2.05920630559396,26.181337313980347,29.19120318050021,1589.5760323775596,0.0870292363820042,"(2, 0, 0)","(0, 0, 0, 7)",n,,,,
12,1,2024-07-16,42,SARIMAX,3.938708734488632,50.07786819564117,64.0564885215311,2187.8916158592524,0.620400689439541,"(2, 0, 2)","(0, 0, 0, 14)",n,,,,
13,1,2024-07-16,42,SARIMAX,3.938708734488632,50.07786819564117,64.0564885215311,2187.8916158592524,0.620400689439541,"(2, 0, 2)","(0, 0, 0, 7)",n,,,,
14,1,2024-07-16,42,SARIMAX,2.2798453399628134,28.986605036670056,32.25073221520733,1543.571557332223,0.3537167891462806,"(2, 1, 0)","(0, 0, 0, 14)",n,,,,
15,1,2024-07-16,42,SARIMAX,2.2798453399628134,28.986605036670056,32.25073221520733,1543.571557332223,0.3537167891462806,"(2, 1, 0)","(0, 0, 0, 7)",n,,,,
16,1,2024-07-16,42,SARIMAX,1.8492173621983807,23.51147789080798,26.828605079205627,1537.6736743081144,0.6885541835795949,"(2, 1, 1)","(0, 0, 0, 14)",n,,,,
